reference product,prod_category,prod_sub_category,ISIC_name,ISIC,CPC_name,CPC,code_EI
"chlorine, for reuse in titanium tetrachloride production",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,cbabc47459801b5c103fbe8af1537d64
"chlorine, for reuse in zirconium and hafnium tetrachloride production",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,ef87be4d630561bf73a937ee852eae99
selenium,Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,45ec4cceb929f803f7f660297f2b8a99
"tantalum powder, capacitor-grade",Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,6e18b2e5884f0d8d765d0b2275bcb034
"SOx retained, in hard coal flue gas desulfurisation",Chemical,Chemical products,"Electric power generation, transmission and distribution",3510," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,88d37bf839833e9e3ae96a52e980086f
"SOx retained, in lignite flue gas desulfurisation",Chemical,Chemical products,"Electric power generation, transmission and distribution",3510," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,95cc10d3635ef8c83688eabb9eaf14f9
"helium, crude",Chemical,Chemical products,Manufacture of gas; distribution of gaseous fuels through mains,3520," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,192829f75e6f162fe5f846957b52f2c0
"phosphoric acid, industrial grade, without water, in 85% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphoric acid,34232,9697ec06725fc4ea988a9b3fdcf3bc48
"phosphoric acid, fertiliser grade, without water, in 70% solution state",Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Phosphoric acid,34232,89bfb652b6d63dc77cc3c4352927ceac
"nitric acid, without water, in 50% solution state",Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012," Nitric acid, sulphonitric acids",34233,e104934a8894ba67e58fab35b8f0f798
nickel sulfate,Chemical,Chemical products,Mining of other non-ferrous metal ores,729, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,198b148b8e5c44bbec35879f83ff4422
aluminium chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,a75a045748638f28171ff2b2d383f7a3
aluminium fluoride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,18bfa487c08ce1305941e0a5760ab9e4
"aluminium sulfate, powder",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,6166479f05dc0a68612a63ee8a4e7835
"aluminium sulfate, without water, in 4.33% aluminium solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,f6bce96724207be50b03455a46ecace4
barium carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,f5431ae3340dc1d2a4cb3a92aea45718
barium sulfide,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,002be39e9688c4c7cbe0ce8c702bd0c9
"calcium carbonate, precipitated",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,f8a783a8ecc470826c19ed12ff9e9c16
calcium chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,6d19649302b568e700b54471cab285e9
cobalt sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,da4a69a978db73550e0a4a042efc58dc
copper sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,2a809a65328a717f75de103aee390220
disodium disulphite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,cffdbf5f5a59ce800d9fb79267fbe2f3
"iron (III) chloride, without water, in 40% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,54bc8227f9554599572a7a0ea4c2200a
iron sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,691eaced17727740f9f2ef9f26307d55
iron(II) chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,25932aee0cb3b28b9387b9f203f59983
"iron(III) chloride, without water, in 14% iron solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,2f58dee2de9d230db240a0b0a91fd4ef
"iron(III) chloride, without water, in a 12% iron solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,2a5670c75a7c979a6982f640c6a923aa
"iron(III) sulfate, without water, in 12.5% iron solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,b6fbbe6bd28d17abaca81cb3519f80ac
lithium carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,a9c19f1c49d0b0a2d704619c04dbf201
lithium fluoride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,b0d494536e0466ee06cfefd891a833c5
lithium iron phosphate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,95477333c55be5c5782525dffe4f87ee
manganese sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,44c0ad8ec4b848edc93d9e7733b062be
polyaluminium chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,99ba5659398d7e6a03c75d96ccba7f20
potassium carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,4ed7745d6891b3174bacf525d41825d5
potassium perchlorate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,2b2d9ca51c5930536183308237f50296
"soda ash, dense",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,1d099ca298b93e0679a1f69fe2dc3044
"soda ash, light",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,bf0e4a58abc943980005f50af283f3f6
"sodium chlorate, powder",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,f04b657d53d1441636c999362c841519
sodium fluoride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,392d628446c108217c75b65ee893a61c
sodium hydrogen sulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,6e365999d5aa890fee987c7831420ffe
sodium hydrogen sulfite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,2f630dc25392540495b6d7cb8f51c94f
"sodium hypochlorite, without water, in 15% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,014ad619e933a6e7bb6547b5a30ee3f1
sodium nitrate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,34e102f73f26e0ca3e2667690d5594b1
sodium nitrite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,4b4dd532324d0f00eff805c787620523
sodium perchlorate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,3d8531096340fb07522ae5ea7a3c5618
sodium persulfate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,38da81eebea81d28c5889c90d91ee495
sodium phosphate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,61bbbdcad89caf2c163edc5665444e71
"sodium sulfate, anhydrite",Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,c6689cc14c60d0492d9cfbc44d0f1ac4
sodium sulfite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,c0032568ff07897567481318ff57c055
strontium carbonate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,fb0306790aeebf6cccf9167893ed1a94
sulfuryl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,41c90410770d00ca377c2ffa13d8da64
thionyl chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,3998713a8b490053bbc28f89b89f32cb
trisodium phosphate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,e317598ab54a582d0adb10e3f9b0d863
ammonium bicarbonate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,0589751e3503282aac3c8ea30ae1f05b
ammonium carbonate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,8b54f58005ff7c6e1129b5a8d25d1430
"cadmium sulfide, semiconductor-grade",Chemical,Chemical products,Manufacture of basic chemicals,2011, Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],34250,b8b2afcd2cc9b0c87c558f86c5b624d5
potassium permanganate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],34250,2dc13380149a42db7e4294ad11b77d7f
sodium dichromate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],34250,ed193a69520576637b5b83e977069de5
heavy water,Chemical,Chemical products,Manufacture of other chemical products n.e.c.,2029, Isotopes n.e.c. and compounds thereof (including heavy water),34260,98c148e9ea2070225f54351f54063c22
ammonium thiocyanate,Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,5307f8b6bc1451c5c07a5a63646cb700
"borax, anhydrous, powder",Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,77fb654d7bf175f61876dba5063ca37b
"sodium aluminate, powder",Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,9f0e2629f653ccf753acbf70f9e7e3b9
sodium cyanide,Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,ff481a8c0b90e9365c5c74acc37bdc3b
"sodium silicate, solid",Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,b43744b15f4337361aac4736481bc119
"sodium silicate, spray powder, 80%",Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,a4743d45e65cc6a866e02a9515b71971
"sodium silicate, without water, in 37% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,0604013d0b3511ea7796962fd592bd31
"sodium silicate, without water, in 48% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011," Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",34270,ca23e1d1e0cce7cb1966594802abd898
boron carbide,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",34280,b8eb97137c39fa0fe7660ab53ea20146
boron trifluoride,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",34280,8c413d83dcaddaec72c3e2c1f41e8e4d
"calcium carbide, technical grade",Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",34280,986040bc5b1afd904d984b7d05d5f76b
"hydrogen peroxide, without water, in 50% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",34280,179e336a0df5ffe3393c21ac997261dc
sodium tetrahydridoborate,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",34280,c6d287f80cd4f572b458348dd9b88b81
dysprosium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,b7d6c7481558f554400a1307968e86ec
erbium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,3625c31ec6b742fd13db883acca64c43
europium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,0cf49d83587274a8c52f30d00554cff3
gadolinium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,31bf99c575e56cbda77cd94b71b23c68
holmium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,63e3afe3ce802b7a0b427a4ec3136b18
lanthanum-cerium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,981df9611b81c42d23785cc5535f0f56
lutetium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,d7d0d2a4602d7ce022db82fb22cb7890
mischmetal,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,3bf3ff18e3e2eabe284770b6e47cfed6
praseodymium-neodymium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,c3b6abc8de3315f5b44e735a3e291a63
rare earth carbonate concentrate,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,65d0d2b7bd77a2c7847056fa0def2834
"rare earth oxide concentrate, 50% REO",Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,4f5988851aea9523bae397e680a4b099
"rare earth oxide concentrate, 70% REO",Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,d0643398cc42ce9d6bab47a825b1c69c
samarium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,92d8f8fffd1eb0a714427ef2ec939778
samarium-europium-gadolinium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,af5e7cf884c9968cf481b154c685adbd
terbium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,b31449be0c5f1494b0a2bf89f5efa78f
terbium-dysprosium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,0a2265e00107aedda4f3d2b627db639d
thulium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,8d103645d7409f627f53b807f1687d32
ytterbium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,4ba5ce43aeb59c0b052854475c0969e4
yttrium oxide,Chemical,Chemical products,Mining of other non-ferrous metal ores,729," Compounds of rare earth metals, of yttrium or of scandium",34290,90025baebadb61cf9bb199a209e5ee27
scandium oxide,Chemical,Chemical products,Manufacture of basic precious and other non-ferrous metals,2420," Compounds of rare earth metals, of yttrium or of scandium",34290,f74f20196e1d4a8e5b179df2fbe4060d
"electrolyte, for solid oxide fuel cell",Chemical,Chemical products,Manufacture of batteries and accumulators,2720," Compounds of rare earth metals, of yttrium or of scandium",34290,8ade5ad40adfc5c6b7721dc97d480d24
"fluorescent whitening agent, DAS1, triazinylaminostilben type",Chemical,Chemical products,Manufacture of basic chemicals,2011, Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…],34310,0ee21fa42aba8c3e24d277beeee44dc9
"fluorescent whitening agent, distyrylbiphenyl type",Chemical,Chemical products,Manufacture of basic chemicals,2011, Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…],34310,3dc6d1a5970c6b298e29d297808fcc11
o-dichlorobenzene,Chemical,Chemical products,Manufacture of basic chemicals,2011, Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…],34310,9d20c3c3e8f7f228c9b9900b79560bc6
"tall oil, crude",Chemical,Chemical products,"Manufacture of pulp, paper and paperboard",1701, Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of conifer[…],34400,51f4e7f2ea50ba3717651654b78bd419
turpentine,Chemical,Chemical products,"Manufacture of pulp, paper and paperboard",1701, Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of conifer[…],34400,00c582a04601974490179ca4a97ad8c3
activated silica,Chemical,Chemical products,Manufacture of basic chemicals,2011, Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of conifer[…],34400,2db576ad3b4d6388370126815b61a627
sulfur,Chemical,Chemical products,Extraction of natural gas,620," Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur",34520,9f6edf4b8f8022a8c49f9f27e92b9e40
sulfur stockpiling,Chemical,Chemical products,Manufacture of basic chemicals,2011," Sulphur, except sublimed sulphur, precipitated sulphur and colloidal sulphur",34520,08a73f808eea7001ce29ca7d0284bb9e
coal tar,Chemical,Chemical products,Manufacture of coke oven products,1910, Roasted iron pyrites,34530,b05611fe51b38e6f2ec287897e0caecc
pitch,Chemical,Chemical products,Manufacture of refined petroleum products,1920," Oils and other products of the distillation of high temperature coal tar, and similar products; pitch and pitc[…]",34540,1b686210324403c69fd30a24b45fec5d
glycerine,Chemical,Chemical products,Manufacture of basic chemicals,2011, Glycerol,34570,200d2d2dca3bc8c93549d77230dbee1e
urea,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Urea,34611,c82c56fb7317b2bf202ccfe53e2d0a43
ammonium sulfate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Ammonium sulphate,34612,30095e070b41b7de52e7f754995483cd
ammonium nitrate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Ammonium nitrate,34613,193e1baae00dc798f33b409c997f0be7
calcium ammonium nitrate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Double salts and mixtures of calcium nitrate and ammonium nitrate,34614,0b1f5826e08f9b107b10a2baeb907877
calcium nitrate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilizing substances,34615,f166f98f45a335a8d0bab36d40e1b91a
urea ammonium nitrate mix,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012," Other nitrogenous fertilizers and mixtures, n.e.c.",34619,2da3e9c5ce909e6fc1de2ef189172c67
single superphosphate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Superphosphate,34621,bf9e5ec47417c95aa1c7f728b3acba66
triple superphosphate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Superphosphate,34621,5c2eb45962bd8fdfc80881f576d07592
"phosphate rock, beneficiated",Chemical,Chemical products,Mining of chemical and fertilizer minerals,891," Other phosphatic fertilizers, n.e.c.",34629,426c736927c75a97ae56e302aae8b614
potassium chloride,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Potassium chloride (muriate of potash),34631,5ec569c83621dc053dd6590a92559610
"potassium chloride, industrial grade",Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Potassium chloride (muriate of potash),34631,8e369a7e64da15a0d274c4a3bbbb6fdc
potassium sulfate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Potassium sulphate (sulphate of potash),34632,84d779d0c21bda8d0927d8d4964b42fb
potash salt,Chemical,Chemical products,Mining of chemical and fertilizer minerals,891," Carnallite, sylvite and other potassic fertilizers, n.e.c.",34639,1167b41c5560edfe1948a203e961f181
NPK (15-15-15) fertiliser,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Fertilizers containing three nutrients,34641,5316c8cfde5c152d7abd45aa6342a8df
NPK (26-15-15) fertiliser,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Fertilizers containing three nutrients,34641,143ae25ea57780bb9d8ae780ce9be4e8
diammonium phosphate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Diammonium hydrogenorthophosphate (diammonium phosphate),34642,d274c18894e1730726a6ae80ea1bdbef
monoammonium phosphate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Monoammonium phosphate,34643,22b2ec27fb78fdb2662d8ebea1537370
ammonium nitrate phosphate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Fertilizers containing two nutrients,34644,8c97a2cdd92549c37958e6e5962d5fe1
potassium nitrate,Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Potassium nitrate,34646,bb70286c20e571862b1ce671506ebee1
"potassium nitrate, agricultural grade",Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012, Potassium nitrate,34646,9e97c89a71f1d9660a303d683e8acdbb
stone meal,Chemical,Chemical products,Mining of chemical and fertilizer minerals,891," Other mineral or chemical fertilizers containing at least two nutrients (nitrogen, phosphate, potash), n.e.c.",34649,c8bf477523eff93c5249d3702313abaf
"ammonia, anhydrous, liquid",Chemical,Chemical products,Manufacture of fertilizers and nitrogen compounds,2012," Ammonia, anhydrous",34651,ebc61be57b11d7921abaab09045c42b1
ammonium chloride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Ammonium chloride; nitrites,34653,8dc70af156ce89386897a21ce1abf565
ammonium nitrite,Chemical,Chemical products,Manufacture of basic chemicals,2011, Ammonium chloride; nitrites,34653,8cb0f5513b03df8712e249f660e947bb
"poultry manure, dried",Chemical,Chemical products,Treatment and disposal of non-hazardous waste,3821, Excreta of animals useful for manure/fertilizer and fuel preparation,34654,8ce0472faa8fba7a1b81e9261d230a83
"soil pH raising agent, as CaCO3",Chemical,Chemical products,Mining of chemical and fertilizer minerals,891, Fertilizers n.e.c.,34659,5134e52c213aac392791d86ea24e523f
pyrethroid-compound,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Insecticides,34661,0853d2d159db0002e20dcce65db5190a
maneb,Chemical,Chemical products,Manufacture of basic chemicals,2011, Fungicides,34662,39261176313c51505746fc259fa85879
prochloraz,Chemical,Chemical products,Manufacture of basic chemicals,2011, Fungicides,34662,ebc699937b6636d014224b4bf0128b5b
tebuconazole,Chemical,Chemical products,Manufacture of basic chemicals,2011, Fungicides,34662,cf1984f9b3abe6cf770a27934f712212
zineb,Chemical,Chemical products,Manufacture of basic chemicals,2011, Fungicides,34662,b1c3b04be6da6ca4ea8e48d22e558da7
captan,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,13e06644da76cf51dd72824b92d5812d
chlorothalonil,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,b226f29a1e0fdbaea3a91d76638af064
dinitroaniline-compound,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,f3a6cde0a9811d3680ea30de9a1d954a
folpet,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,c89a14f175f6953107035b2a1f023c0d
fosetyl-Al,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,468110b28c7bd27b08fe6d9700b2497d
mancozeb,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,9294efe34ebedab211270d469a2ac775
phthalimide-compound,Chemical,Chemical products,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,e3ba008bd11d0453a1a2553d2bdfae3f
1-methylcyclopropene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,959364fb0d780ae3e852e272f7ddb07e
6-benzyladenine,Chemical,Chemical products,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,db9a71a0edf13c89a31140eb80426839
amidosulfuron,Chemical,Chemical products,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,f5296a2119c3ae967287a6ddfedfc34b
bromoxynil,Chemical,Chemical products,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,15c8018b42c353925a70f59a28537faa
chloridazon,Chemical,Chemical products,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,d914424805dfdf77ae0c672d4f1ef390
